item,participante,prime,SOA,tempo,resposta
item_01,S_01,relacionado,curto,688.081982,correct
item_02,S_01,relacionado,curto,694.6091113,correct
item_03,S_01,relacionado,curto,499.6527571,incorrect
item_04,S_01,relacionado,curto,585.7681475,correct
item_05,S_01,relacionado,curto,480.8824603,correct
item_06,S_01,relacionado,curto,492.452992,incorrect
item_07,S_01,relacionado,curto,742.2370015,correct
item_08,S_01,relacionado,curto,2184.24107,correct
item_09,S_01,relacionado,curto,546.7259904,correct
item_10,S_01,relacionado,curto,482.6878294,correct
item_11,S_01,relacionado,curto,595.8065876,correct
item_12,S_01,relacionado,curto,447.1501388,correct
item_13,S_01,relacionado,curto,490.4992078,incorrect
item_14,S_01,relacionado,curto,514.0216754,correct
item_15,S_01,relacionado,curto,571.3591789,correct
item_01,S_02,relacionado,curto,448.8618723,correct
item_02,S_02,relacionado,curto,692.9102021,correct
item_03,S_02,relacionado,curto,696.4423455,correct
item_04,S_02,relacionado,curto,564.0466094,correct
item_05,S_02,relacionado,curto,462.0242027,correct
item_06,S_02,relacionado,curto,442.2120254,correct
item_07,S_02,relacionado,curto,475.4382968,correct
item_08,S_02,relacionado,curto,609.1623584,correct
item_09,S_02,relacionado,curto,570.8820589,correct
item_10,S_02,relacionado,curto,627.7095921,correct
item_11,S_02,relacionado,curto,571.7480975,correct
item_12,S_02,relacionado,curto,718.6138725,correct
item_13,S_02,relacionado,curto,370.8304533,correct
item_14,S_02,relacionado,curto,536.6302781,correct
item_15,S_02,relacionado,curto,534.0248863,correct
item_01,S_03,relacionado,curto,692.3056159,correct
item_02,S_03,relacionado,curto,422.4690149,correct
item_03,S_03,relacionado,curto,622.1294502,correct
item_04,S_03,relacionado,curto,722.2869269,correct
item_05,S_03,relacionado,curto,602.1465702,correct
item_06,S_03,relacionado,curto,605.6245792,correct
item_07,S_03,relacionado,curto,569.4575748,correct
item_08,S_03,relacionado,curto,570.7302053,correct
item_09,S_03,relacionado,curto,412.2916753,correct
item_10,S_03,relacionado,curto,430.33498,correct
item_11,S_03,relacionado,curto,473.9352933,correct
item_12,S_03,relacionado,curto,599.157574,correct
item_13,S_03,relacionado,curto,502.8713628,correct
item_14,S_03,relacionado,curto,445.6499687,correct
item_15,S_03,relacionado,curto,422.5311926,correct
