item,participante,prime,SOA,tempo,resposta
item_01,S_01,relacionado,curto,961.107914,correct
item_02,S_01,relacionado,curto,687.999251,correct
item_03,S_01,relacionado,curto,819.401655,incorrect
item_04,S_01,relacionado,curto,786.86153,correct
item_05,S_01,relacionado,curto,943.528712,correct
item_06,S_01,relacionado,curto,682.698014,incorrect
item_07,S_01,relacionado,curto,585.029203,correct
item_08,S_01,relacionado,curto,825.435898,correct
item_09,S_01,relacionado,curto,852.414613,correct
item_10,S_01,relacionado,curto,922.567072,correct
item_11,S_01,relacionado,curto,735.334737,correct
item_12,S_01,relacionado,curto,898.017308,correct
item_13,S_01,relacionado,curto,833.497798,incorrect
item_14,S_01,relacionado,curto,860.600096,correct
item_15,S_01,relacionado,curto,685.011516,correct
item_01,S_02,relacionado,curto,121.232712,correct
item_02,S_02,relacionado,curto,792.615033,correct
item_03,S_02,relacionado,curto,686.727853,correct
item_04,S_02,relacionado,curto,620.588829,correct
item_05,S_02,relacionado,curto,889.242482,correct
item_06,S_02,relacionado,curto,951.807416,correct
item_07,S_02,relacionado,curto,647.183105,correct
item_08,S_02,relacionado,curto,916.085675,correct
item_09,S_02,relacionado,curto,742.662083,correct
item_10,S_02,relacionado,curto,785.739735,correct
item_11,S_02,relacionado,curto,689.615213,correct
item_12,S_02,relacionado,curto,689.120186,correct
item_13,S_02,relacionado,curto,1008.39595,correct
item_14,S_02,relacionado,curto,749.129386,correct
item_15,S_02,relacionado,curto,870.662394,correct
item_01,S_03,relacionado,curto,873.212573,correct
item_02,S_03,relacionado,curto,838.842951,correct
item_03,S_03,relacionado,curto,740.456574,correct
item_04,S_03,relacionado,curto,965.645772,correct
item_05,S_03,relacionado,curto,1047.57825,correct
item_06,S_03,relacionado,curto,1618.129504,correct
item_07,S_03,relacionado,curto,801.570902,correct
item_08,S_03,relacionado,curto,924.664441,correct
item_09,S_03,relacionado,curto,860.060194,correct
item_10,S_03,relacionado,curto,823.977502,correct
item_11,S_03,relacionado,curto,939.94396,correct
item_12,S_03,relacionado,curto,744.753696,correct
item_13,S_03,relacionado,curto,592.113322,correct
item_14,S_03,relacionado,curto,832.549254,correct
item_15,S_03,relacionado,curto,776.313601,correct
item_01,S_04,relacionado,curto,870.518317,correct
item_02,S_04,relacionado,curto,768.940978,correct
item_03,S_04,relacionado,curto,748.159685,correct
item_04,S_04,relacionado,curto,870.079241,correct
item_05,S_04,relacionado,curto,858.479722,correct
item_06,S_04,relacionado,curto,694.684448,correct
item_07,S_04,relacionado,curto,873.907189,correct
item_08,S_04,relacionado,curto,816.923661,correct
item_09,S_04,relacionado,curto,837.926273,correct
