participante,pronome,referencia,cod,tempo.adverbio
1a,s,cor,i_17,755
1a,s,cor,i_3,527
1a,p,inf,i_25,518
1a,p,inf,i_10,633
1a,p,cor,i_40,569
1a,s,cor,i_21,625
1a,s,inf,i_6,890
1a,s,inf,i_26,503
1a,s,cor,i_20,531
1a,p,inf,i_32,433
1a,s,inf,i_16,504
1a,p,inf,i_1,828
1a,p,cor,i_24,610
1a,s,inf,i_13,889
1a,p,cor,i_14,495
1a,s,inf,i_7,531
1a,s,cor,i_23,501
1a,p,cor,i_15,673
1a,p,cor,i_42,682
1a,p,inf,i_30,457
1a,s,cor,i_41,443
1a,s,cor,i_18,658
1a,p,cor,i_8,406
1a,p,inf,i_35,408
1a,s,inf,i_22,293
1a,p,inf,i_38,358
1a,s,inf,i_11,511
1a,p,cor,i_9,505
2a,s,inf,i_7,692
2a,p,inf,i_25,530
2a,p,inf,i_10,616
2a,s,inf,i_16,485
2a,p,inf,i_38,573
2a,p,inf,i_35,548
2a,s,cor,i_20,468
2a,p,cor,i_24,713
2a,p,cor,i_14,1109
2a,s,inf,i_26,652
2a,p,cor,i_42,555
2a,p,cor,i_40,501
2a,p,inf,i_30,547
2a,p,cor,i_8,591
2a,s,cor,i_23,517
2a,s,cor,i_41,473
2a,p,cor,i_15,527
2a,s,inf,i_6,426
2a,s,cor,i_21,432
2a,p,inf,i_1,473
2a,p,inf,i_32,437
2a,s,cor,i_3,449
2a,s,inf,i_22,474
2a,p,cor,i_9,460
2a,s,inf,i_13,756
2a,s,inf,i_11,454
2a,s,cor,i_17,448
2a,s,cor,i_18,552
3a,p,cor,i_8,1334
3a,p,inf,i_25,959
3a,p,cor,i_40,638
3a,s,cor,i_41,1217
3a,p,inf,i_38,821
3a,s,inf,i_7,523
3a,s,cor,i_21,790
3a,s,inf,i_26,801
3a,s,inf,i_6,706
3a,s,cor,i_23,520
3a,p,cor,i_42,644
3a,s,cor,i_3,675
3a,p,inf,i_1,671
3a,p,cor,i_9,529
3a,p,cor,i_14,1012
3a,p,cor,i_15,602
3a,p,inf,i_35,443
3a,s,cor,i_17,411
3a,s,cor,i_20,716
3a,p,inf,i_10,557
3a,s,inf,i_22,551
3a,p,inf,i_32,387
3a,s,inf,i_16,394
3a,p,inf,i_30,480
3a,s,inf,i_11,494
3a,s,inf,i_13,750
3a,p,cor,i_24,648
3a,s,cor,i_18,473
4a,p,cor,i_15,1132
4a,s,cor,i_3,1934
4a,s,inf,i_7,571
4a,s,inf,i_26,519
4a,s,cor,i_17,723
4a,s,cor,i_41,539
4a,p,inf,i_32,584
4a,s,inf,i_22,489
4a,p,inf,i_38,528
4a,s,inf,i_6,1053
4a,p,cor,i_14,633
4a,s,cor,i_20,460
4a,p,cor,i_42,674
4a,p,cor,i_9,510
4a,s,inf,i_13,562
4a,p,inf,i_10,526
4a,s,inf,i_16,630
4a,p,inf,i_1,521
4a,p,inf,i_35,467
4a,p,cor,i_24,666
4a,s,cor,i_21,454
4a,s,inf,i_11,577
4a,p,inf,i_30,462
4a,s,cor,i_23,454
4a,p,inf,i_25,823
4a,s,cor,i_18,445
4a,p,cor,i_40,654
4a,p,cor,i_8,674
5a,s,cor,i_17,500
5a,s,inf,i_13,787
5a,p,inf,i_25,568
5a,p,inf,i_35,519
5a,p,inf,i_32,746
5a,s,cor,i_23,565
5a,p,cor,i_40,415
5a,s,cor,i_20,367
5a,s,cor,i_21,543
5a,s,cor,i_3,496
5a,p,cor,i_9,465
5a,s,cor,i_41,838
5a,p,cor,i_42,377
5a,s,inf,i_11,661
5a,p,cor,i_8,462
5a,s,cor,i_18,477
5a,p,cor,i_14,558
5a,s,inf,i_6,488
5a,p,inf,i_10,428
5a,s,inf,i_16,489
5a,p,inf,i_30,402
5a,s,inf,i_7,469
